ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000893,HY190463,03/19/2015 11:40:00 AM,026XX S KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1031,010,22,30,08B,1147487,1886032,2015,02/10/2018 03:50:01 PM,41.843228683,-87.734253291,"(41.843228683, -87.734253291)"
10000895,HY190538,03/19/2015 12:42:00 PM,049XX W ADAMS ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,true,false,1533,015,28,25,18,1143658,1898882,2015,02/10/2018 03:50:01 PM,41.878563206,-87.747983503,"(41.878563206, -87.747983503)"
10000896,HY190379,03/18/2015 01:00:00 AM,048XX N SAWYER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1713,017,39,14,14,1153837,1932035,2015,02/10/2018 03:50:01 PM,41.969341179,-87.709722771,"(41.969341179, -87.709722771)"
10000901,HY190314,03/19/2015 05:00:00 AM,024XX N CENTRAL AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2515,025,30,19,03,1138639,1915565,2015,02/10/2018 03:50:01 PM,41.924435828,-87.766007399,"(41.924435828, -87.766007399)"
10000902,HY190435,03/17/2015 10:00:00 AM,014XX W SHERWIN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2423,024,49,1,11,1165358,1948755,2015,02/10/2018 03:50:01 PM,42.014983368,-87.666881621,"(42.014983368, -87.666881621)"
10000903,HY138419,02/03/2015 03:38:00 PM,037XX W CHICAGO AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1112,011,27,23,18,1151159,1905079,2015,02/10/2018 03:50:01 PM,41.89542474,-87.720278586,"(41.89542474, -87.720278586)"
10000905,HY190469,02/27/2015 09:00:00 AM,108XX S WALLACE ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,false,false,2233,022,34,49,11,1174231,1833052,2015,02/10/2018 03:50:01 PM,41.697291603,-87.637681823,"(41.697291603, -87.637681823)"
10000906,HY190513,03/19/2015 12:20:00 PM,062XX S STONY ISLAND AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",true,false,0314,003,5,42,08B,1187940,1864073,2015,02/10/2018 03:50:01 PM,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
10000911,HY190563,01/11/2015 10:00:00 AM,020XX N HOYNE AVE,0890,THEFT,FROM BUILDING,VACANT LOT/LAND,false,false,1432,014,32,22,06,1162033,1913413,2015,02/10/2018 03:50:01 PM,41.9180737,-87.68010785,"(41.9180737, -87.68010785)"
10000912,HY190521,03/18/2015 06:20:00 PM,020XX W 36TH ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0912,009,11,59,05,1163490,1880805,2015,02/10/2018 03:50:01 PM,41.828563911,-87.675672687,"(41.828563911, -87.675672687)"
10000913,HY190516,03/19/2015 12:30:00 PM,0000X E ADAMS ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,true,false,0113,001,42,32,26,1176667,1899473,2015,02/10/2018 03:50:01 PM,41.879503218,-87.626763965,"(41.879503218, -87.626763965)"
10000914,HY190304,03/19/2015 09:30:00 AM,049XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0931,009,16,61,08B,1164522,1871856,2015,02/10/2018 03:50:01 PM,41.8039851,-87.672138992,"(41.8039851, -87.672138992)"
10000922,HY190519,03/19/2015 07:00:00 AM,013XX N ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1423,014,26,24,14,1158820,1909030,2015,02/10/2018 03:50:01 PM,41.906112955,-87.692033014,"(41.906112955, -87.692033014)"
10000923,HY190548,03/19/2015 01:00:00 AM,008XX N CLARK ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,BAR OR TAVERN,false,false,1832,018,42,8,04B,1175391,1905886,2015,02/10/2018 03:50:01 PM,41.897129577,-87.631256529,"(41.897129577, -87.631256529)"
